ID,longitude,latitude,valence,arousal,emo_dis
29839317208,11.467236,48.119061,0,0,0.0
43709878951,11.467236,48.119061,0,0,0.0
43709876901,11.467236,48.119061,0,0,0.0
43709875571,11.467236,48.119061,0,0,0.0
43709874151,11.467236,48.119061,0,0,0.0
43709871531,11.467236,48.119061,0,0,0.0
43709869941,11.467236,48.119061,0,0,0.0
29839301328,11.467236,48.119061,0,0,0.0
29539256538,11.479705,48.118144,0,0,0.0
43709864041,11.467236,48.119061,0,0,0.0
42806450175,11.467236,48.119061,0,0,0.0
42806447185,11.467236,48.119061,0,0,0.0
42806446115,11.467236,48.119061,0,0,0.0
42806444655,11.467236,48.119061,0,0,0.0
43709856001,11.467236,48.119061,0,0,0.0
43709854711,11.467236,48.119061,0,0,0.0
43709853501,11.467236,48.119061,0,0,0.0
42806437655,11.467236,48.119061,0,0,0.0
41901193010,11.467236,48.119061,0,0,0.0
42806430765,11.467236,48.119061,0,0,0.0
42806428055,11.467236,48.119061,0,0,0.0
42806425125,11.467236,48.119061,0,0,0.0
42806423525,11.467236,48.119061,0,0,0.0
29839275728,11.467236,48.119061,0,0,0.0
42993775714,11.467236,48.119061,0,0,0.0
43709829981,11.467236,48.119061,0,0,0.0
43662627912,11.467236,48.119061,0,0,0.0
42993769774,11.467236,48.119061,0,0,0.0
41901167720,11.467236,48.119061,0,0,0.0
42993766764,11.467236,48.119061,0,0,0.0
41901165820,11.467236,48.119061,0,0,0.0
41901163190,11.467236,48.119061,0,0,0.0
42993757394,11.467236,48.119061,0,0,0.0
42993755844,11.467236,48.119061,0,0,0.0
42505592605,11.469813,48.115055,0,0,0.0
43662608802,11.467236,48.119061,0,0,0.0
42993753594,11.467236,48.119061,0,0,0.0
42993752384,11.467236,48.119061,0,0,0.0
42993751094,11.467236,48.119061,0,0,0.0
42993748634,11.467236,48.119061,0,0,0.0
42993747644,11.467236,48.119061,0,0,0.0
42993746604,11.467236,48.119061,0,0,0.0
43662595772,11.467236,48.119061,0,0,0.0
28819572817,11.467236,48.119061,0,0,0.0
43662592792,11.467236,48.119061,0,0,0.0
28819567027,11.467236,48.119061,0,0,0.0
43709784341,11.467236,48.119061,0,0,0.0
43709781611,11.467236,48.119061,0,0,0.0
43662582762,11.467236,48.119061,0,0,0.0
43662581192,11.467236,48.119061,0,0,0.0
41901128490,11.467236,48.119061,0,0,0.0
41901126190,11.467236,48.119061,0,0,0.0
41901123670,11.467236,48.119061,0,0,0.0
41901121760,11.467236,48.119061,0,0,0.0
41901119770,11.467236,48.119061,0,0,0.0
28819539907,11.467236,48.119061,0,0,0.0
28819537117,11.467236,48.119061,0,0,0.0
41901111920,11.467236,48.119061,0,0,0.0
41901106030,11.467236,48.119061,0,0,0.0
42693396194,11.479705,48.118144,0,0,0.0
42693139124,11.469813,48.115055,0,0,0.0
43361694132,11.469813,48.115055,0,0,0.0
42505592435,11.479705,48.118144,0,0,0.0
29539256258,11.479705,48.118144,0,0,0.0
43361693562,11.479705,48.118144,0,0,0.0
42693138944,11.479705,48.118144,0,0,0.0
42693138644,11.479705,48.118144,0,0,0.0
42693138844,11.479705,48.118144,0,0,0.0
42505592325,11.479705,48.118144,0,0,0.0
43361693722,11.479705,48.118144,0,0,0.0
43361693302,11.479705,48.118144,0,0,0.0
42693138334,11.479705,48.118144,0,0,0.0
42693138554,11.479705,48.118144,0,0,0.0
42505592035,11.479705,48.118144,0,0,0.0
29539255978,11.479705,48.118144,0,0,0.0
29539256148,11.479705,48.118144,0,0,0.0
